item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Acrojack Rental Extension (14 Days),250.0,2.5,8750.0,2026-06-11,Roof Concreting,3rd Floor,74.0
Acrojack Extension ( 3 Days),150.0,2.5,1125.0,2026-06-11,Roof Concreting,3rd Floor,74.0
Plywood 12mm Rental Extension ,65.0,20.0,18200.0,2026-06-11,Roof Concreting,3rd Floor,74.0
2/3 Wood Wood Rental Extension ( 14 Days),170.0,5.0,11900.0,2026-06-11,Roof Concreting,3rd Floor,74.0
Acrojack Transport ,1.0,800.0,800.0,2026-06-11,Roof Concreting,3rd Floor,74.0
Acrojack Transport ,1.0,4500.0,4500.0,2026-06-11,Roof Concreting,3rd Floor,74.0
Plywood & 2/3 Transport ,1.0,4200.0,4200.0,2026-06-11,Roof Concreting,3rd Floor,74.0
Carpenter Payment,1.0,5000.0,5000.0,2026-06-11,Roof Concreting,3rd Floor,74.0
Cement ,3.0,455.0,1365.0,2026-05-22,Roof Concreting,3rd Floor,73.75
Cement Transport ,3.0,20.0,60.0,2026-05-22,Roof Concreting,3rd Floor,73.75
Access- no Change for Bubacarr Faye,1.0,40.0,40.0,2026-06-11,Roof Concreting,3rd Floor,74.0
Rebuilding the Fence,1.0,2500.0,2500.0,2026-06-14,Roof Concreting,3rd Floor,74.0
Ali Watering the Roof,1.0,2000.0,2000.0,2026-07-03,Roof Concreting,3rd Floor,74.0
