item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Timber 1 by 6,10,300.0,3000.0,2024-04-07,Construction,1st Floor,71.2
Timber 1 by 6 Transport ,1,500.0,500.0,2024-04-07,Construction,1st Floor,71.2
Wheelbarrow Maintenance ,2,1000.0,2000.0,2024-04-08,Construction,1st Floor,71.2
Momo Waggeh Salary(advanced),1,4000.0,4000.0,2024-04-19,Construction,1st Floor,71.2
Moving Sand from the Yard(1st),1,350.0,350.0,2024-04-23,Construction,1st Floor,71.2
Moving Sand from the Yard(2nd),2,350.0,700.0,2024-04-23,Construction,1st Floor,71.2
Moving Sand from the Yard(3rd),4,400.0,1600.0,2024-04-23,Construction,1st Floor,71.2
Moving Sand from the Yard(4th),3,500.0,1500.0,2024-04-23,Construction,1st Floor,71.2
Cement,50,390.0,19500.0,2024-04-23,Brick Molding,1st Floor,71.2
Cement Transport ,50,20.0,1000.0,2024-04-23,Brick Molding,1st Floor,71.2
Tape Head,1,350.0,350.0,2024-04-23,Construction,1st Floor,71.2
Tape Cover,1,150.0,150.0,2024-04-23,Construction,1st Floor,71.2
Lock for Tape Cover,1,100.0,100.0,2024-04-23,Construction,1st Floor,71.2
Sand (10 Wheel),1,7500.0,7500.0,2024-04-26,Brick Molding,1st Floor,71.2
Gas for the Generator ,1,375.0,375.0,2024-04-29,Construction,1st Floor,71.2
Generator Leaking Repair + Trans ,1,700.0,700.0,2024-04-29,Construction,1st Floor,71.2
Cement,50,395.0,19750.0,2024-05-01,Brick Molding,1st Floor,71.2
Cement Transport ,50,20.0,1000.0,2024-05-01,Brick Molding,1st Floor,71.2
Sand (10 Wheel),1,7500.0,7500.0,2024-05-02,Brick Molding,1st Floor,71.2
Cement,50,380.0,19000.0,2024-05-04,Brick Molding,1st Floor,71.2
Cement Transport ,50,20.0,1000.0,2024-05-04,Brick Molding,1st Floor,71.2
Generator Repair + Gas,1,1200.0,1200.0,2024-05-04,Construction,1st Floor,71.2
Oil for Generator ,1,150.0,150.0,2024-05-06,Construction,1st Floor,71.2
Sand (10 Wheel),1,7500.0,7500.0,2024-05-07,Brick Molding,1st Floor,71.2
Gas for the Generator ,1,350.0,350.0,2024-05-07,Construction,1st Floor,71.2
Watering the Bricks ,1,500.0,500.0,2024-05-10,Construction,1st Floor,71.2
Bricks Molding ,3708,6.0,22250.0,2024-05-18,Brick Molding,1st Floor,71.2
Gas for the Generator ,1,400.0,400.0,2024-05-25,Construction,1st Floor,71.2
Sadaqa,1,3000.0,3000.0,2024-05-26,Construction,1st Floor,71.2
Sulaiman Juwarra 2nd Payment ,1,80000.0,80000.0,2024-05-27,Construction,1st Floor,71.2
Iron Rod(12mm),100,540.0,54000.0,2024-05-28,Construction,1st Floor,71.2
Iron Rod(6mm),25,150.0,3750.0,2024-05-28,Construction,1st Floor,71.2
Cement,30,400.0,12000.0,2024-05-28,Construction,1st Floor,71.2
Cement + Rods Transport ,1,1400.0,1400.0,2024-05-28,Construction,1st Floor,71.2
Clean Pebble(10 Wheels) ,1,13500.0,13500.0,2024-05-28,Construction,1st Floor,71.2
Asphalt Stones(double trip),1,95000.0,95000.0,2024-05-28,Construction,1st Floor,71.2
Sand(10 Wheels),1,7500.0,7500.0,2024-05-28,Construction,1st Floor,71.2
Bubacar Fai Advance Payment ,6,12000.0,72000.0,2024-05-28,Construction,1st Floor,71.2
Cement ,50,400.0,20000.0,2024-05-30,Construction,1st Floor,71.2
Cement Transport ,50,30.0,1500.0,2024-05-30,Construction,1st Floor,71.2
Momo Waggeh Salary (June) ,1,4000.0,4000.0,2024-06-03,Construction,1st Floor,71.2
Cement,100,430.0,43000.0,2024-06-03,Construction,1st Floor,71.2
Cement Transport ,100,30.0,3000.0,2024-06-03,Construction,1st Floor,71.2
Sand (10 Wheel),1,7500.0,7500.0,2024-06-03,Construction,1st Floor,71.2
Gas for the Generator ,1,950.0,950.0,2024-06-04,Construction,1st Floor,71.2
Sand (10 Wheel),1,7500.0,7500.0,2024-06-10,Construction,1st Floor,71.2
Cement,62,415.0,25730.0,2024-06-11,Construction,1st Floor,71.2
Cement Transport ,62,30.0,1860.0,2024-06-11,Construction,1st Floor,71.2
Nail(kg),4,100.0,400.0,2024-06-14,Construction,1st Floor,71.2
Momo Waggeh Salary (July),1,4000.0,4000.0,2024-07-05,Construction,1st Floor,71.2
Soft Plywood 6m,1,850.0,850.0,2024-07-04,Construction,1st Floor,71.2
Nail(kg),2,100.0,200.0,2024-07-04,Construction,1st Floor,71.2
Binding Wire(Bundle),1,500.0,500.0,2024-07-04,Construction,1st Floor,71.2
Plywood + Nail Transport ,1,200.0,200.0,2024-07-04,Construction,1st Floor,71.2
1 by 6 Timber,3,350.0,1050.0,2024-07-09,Construction,1st Floor,71.2
1 by 2 Wood,2,100.0,200.0,2024-07-09,Construction,1st Floor,71.2
Cardboard ,1,350.0,350.0,2024-07-09,Construction,1st Floor,71.2
1by6 & 1x2 Transport ,1,300.0,300.0,2024-07-09,Construction,1st Floor,71.2
Gas for the Generator ,1,300.0,300.0,2024-07-09,Construction,1st Floor,71.2
Sand(10 Wheels),1,7500.0,7500.0,2024-07-11,Brick Molding,1st Floor,71.2
Momo Waggeh Salary (Aug) ,1,4000.0,4000.0,2024-08-05,Construction,1st Floor,71.2
Bricks Molding ,1,7140.0,7140.0,2024-08-04,Brick Molding,1st Floor,71.2
Cement,25,400.0,10000.0,2024-09-04,Construction,1st Floor,71.2
Cement Transport ,25,20.0,500.0,2024-09-04,Construction,1st Floor,71.2
Momo Waggeh arranging Bricks,1,500.0,500.0,2024-09-04,Brick Molding,1st Floor,71.2
Momo Waggeh Salary (Sept) ,1,4000.0,4000.0,2024-09-04,Construction,1st Floor,71.2
Cement,25,400.0,10000.0,2024-09-09,Construction,1st Floor,71.2
Cement Transport ,25,20.0,500.0,2024-09-09,Construction,1st Floor,71.2
Gas for the Generator ,1,300.0,300.0,2024-09-09,Construction,1st Floor,71.2
Zakaat,1,4000.0,4000.0,2024-09-14,Construction,1st Floor,71.2
Sulaiman Juwara 3rd Payment,1,80000.0,80000.0,2024-09-18,Construction,1st Floor,71.2
