item,quantity,unit_cost,total_cost,date,sub_category,category,exchange_rate
Oil for Generator ,1,500.0,500.0,2025-05-02,Roof Concreting,1st Floor,72.85
Momo Waggeh Putting Sand inside,1,1300.0,1300.0,2025-05-04,Roof Concreting,1st Floor,72.85
AcroJack Tental(5 Days),550,2.5,6875.0,2025-05-09,Roof Concreting,1st Floor,72.25
Plywood(12mm) Rental(5 Days),62,19.0,5890.0,2025-05-09,Roof Concreting,1st Floor,72.25
2/3 Timber Rental(5 Days),380,4.0,7600.0,2025-05-09,Roof Concreting,1st Floor,72.25
12mm Iron Rod(Turkey),40,510.0,20400.0,2025-04-17,Roof Concreting,1st Floor,72.6
10mm Iron Rod(Turkey),500,320.0,160000.0,2025-04-17,Roof Concreting,1st Floor,72.6
6mm Iron Rod,15,120.0,1800.0,2025-04-17,Roof Concreting,1st Floor,72.6
Binding Wire(Bundle),3,400.0,1200.0,2025-04-17,Roof Concreting,1st Floor,72.6
Asphalt Stone(22 cubic),1,110000.0,110000.0,2025-04-23,Roof Concreting,1st Floor,72.85
Sand (10 Wheel),2,8000.0,16000.0,2025-04-23,Roof Concreting,1st Floor,72.85
Stone(10 Wheel),2,14000.0,28000.0,2025-04-23,Roof Concreting,1st Floor,72.85
Cement ,350,385.0,134750.0,2025-04-23,Roof Concreting,1st Floor,72.85
Generator Rope repair ,1,150.0,150.0,2025-04-24,Roof Concreting,1st Floor,72.85
Sulayman Juwara 4th Payment,1,100000.0,100000.0,2025-04-24,Roof Concreting,1st Floor,72.85
Workers' Lunch for Concreting Day,1,2500.0,2500.0,2025-04-24,Roof Concreting,1st Floor,72.85
Sand (10 Wheel),1,8000.0,8000.0,2025-04-24,Roof Concreting,1st Floor,72.85
Stone(10 Wheels),1,14000.0,14000.0,2025-04-24,Roof Concreting,1st Floor,72.85
Cement ,25,390.0,9750.0,2025-04-24,Roof Concreting,1st Floor,72.85
Momo Waggeh Watering,1,2100.0,2100.0,2025-05-10,Roof Concreting,1st Floor,72.25
Momo Waggeh Salary(Upto May 7),1,1000.0,1000.0,2025-05-10,Roof Concreting,1st Floor,72.25
Returning Roof Concrete Materials ,1,8500.0,8500.0,2025-05-17,Roof Concreting,1st Floor,72.25
Cement Transport,25,20.0,500.0,2025-04-24,Roof Concreting,1st Floor,72.85
Cemennt,38,415.0,15770.0,2024-06-11,Brick Molding,1st Floor,71.2
Cemennt Transport,38,30.0,1140.0,2024-06-11,Brick Molding,1st Floor,71.2
Cemennt Transport,38,30.0,1140.0,2024-06-11,Brick Molding,1st Floor,71.2
